,Planet Name,ID,FeatureName,FeatureType,Planetary Feature,Latitude of Center of Planetary Feature,Longitude of Center of Planetary Feature,Size of Planetary Feature(km)
1375,Mars,4851.0, Protonilus , albedo feature ,AL,41.663828,45.0,0.0
1374,Mars,4850.0, Protei Regio , albedo feature ,AL,-22.757689,310.0,0.0
1295,Mars,3518.0, Lunae Palus , albedo feature ,AL,14.831743,295.0,0.0
1264,Mars,2497.0, Hiddekel , albedo feature ,AL,14.831743,15.0,0.0
1263,Mars,2486.0, Hesperia , albedo feature ,AL,-19.783566,120.0,0.0
1373,Mars,4847.0, Propontis , albedo feature ,AL,44.661768,175.0,0.0
1269,Mars,2630.0, Iapygia (Iapigia) , albedo feature ,AL,-19.783566,65.0,0.0
1403,Mars,5793.0, Syria , albedo feature ,AL,-19.783566,260.0,0.0
1273,Mars,2876.0, Juventae Fons , albedo feature ,AL,-4.941605,297.0,0.0
1383,Mars,5568.0, Sinus Meridiani , albedo feature ,AL,-4.941605,360.0,0.0
1287,Mars,3226.0, Laestrygon (Laestrigon) , albedo feature ,AL,0.0,160.0,0.0
1300,Mars,3663.0, Mare Acidalium , albedo feature ,AL,44.661768,330.0,0.0
1301,Mars,3666.0, Mare Australe , albedo feature ,AL,-59.706215,350.0,0.0
1283,Mars,3344.0, Lemuria , albedo feature ,AL,69.7816,160.0,0.0
1397,Mars,5354.0, Scandia , albedo feature ,AL,60.209194,212.1,0.0
1302,Mars,3667.0, Mare Boreum , albedo feature ,AL,59.706215,180.0,0.0
1303,Mars,3668.0, Mare Chronium , albedo feature ,AL,-57.69521,150.0,0.0
1304,Mars,3669.0, Mare Cimmerium , albedo feature ,AL,-19.783566,140.0,0.0
1305,Mars,3672.0, Mare Erythraeum , albedo feature ,AL,-24.741878,320.0,0.0
1306,Mars,3675.0, Mare Hadriacum , albedo feature ,AL,-39.667248,90.0,0.0
1307,Mars,3687.0, Mare Serpentis , albedo feature ,AL,-29.707944,40.0,0.0
1308,Mars,3688.0, Mare Sirenum , albedo feature ,AL,-29.707944,205.0,0.0
1437,Mars,6088.0, Trivium Charontis , albedo feature ,AL,19.783566,162.0,0.0
1309,Mars,3858.0, Meroe , albedo feature ,AL,34.682806,75.0,0.0
1384,Mars,5570.0, Sinus Sabaeus , albedo feature ,AL,-7.907296,20.0,0.0
1311,Mars,3692.0, Mare Tyrrhenum , albedo feature ,AL,-19.783566,105.0,0.0
1278,Mars,2742.0, Ismenius Lacus , albedo feature ,AL,39.667248,30.0,0.0
1334,Mars,4183.0, Nectar , albedo feature ,AL,-27.720515,288.0,0.0
1260,Mars,2434.0, Hellespontus , albedo feature ,AL,-49.666565,35.0,0.0
1407,Mars,5546.0, Sinai , albedo feature ,AL,-19.783566,290.0,0.0
1370,Mars,4834.0, Promethei Sinus , albedo feature ,AL,-64.739911,80.0,0.0
1428,Mars,5947.0, Tharsis , albedo feature ,AL,0.0,260.0,0.0
1259,Mars,2429.0, Hellas , albedo feature ,AL,-39.667248,70.0,0.0
1349,Mars,4683.0, Phaethontis , albedo feature ,AL,-49.666565,205.0,0.0
1429,Mars,5982.0, Thoth , albedo feature ,AL,29.707944,105.0,0.0
1430,Mars,5988.0, Thymiamata , albedo feature ,AL,9.884955,350.0,0.0
1232,Mars,1725.0, Edom , albedo feature ,AL,0.0,15.0,0.0
1351,Mars,4501.0, Ortygia , albedo feature ,AL,59.706215,360.0,0.0
1236,Mars,1826.0, Eridania , albedo feature ,AL,-44.661768,140.0,0.0
1433,Mars,6033.0, Tithonius Lacus , albedo feature ,AL,-4.941605,275.0,0.0
1352,Mars,4535.0, Oxia Palus , albedo feature ,AL,7.907296,342.0,0.0
1435,Mars,6073.0, Tractus Albus , albedo feature ,AL,29.707944,280.0,0.0
1225,Mars,1872.0, Euphrates , albedo feature ,AL,19.783566,25.0,0.0
1353,Mars,4536.0, Oxus , albedo feature ,AL,19.783566,348.0,0.0
1224,Mars,1869.0, Eunostos , albedo feature ,AL,21.766036,240.0,0.0
1436,Mars,6083.0, Trinacria , albedo feature ,AL,-24.741878,92.0,0.0
1221,Mars,1544.0, Dioscuria , albedo feature ,AL,49.666565,40.0,0.0
1228,Mars,2613.0, Hyperboreus (Lacus) , albedo feature ,AL,74.830014,300.0,0.0
1363,Mars,4699.0, Phlegra , albedo feature ,AL,31.000525,172.2,134.0
1293,Mars,3389.0, Libya , albedo feature ,AL,0.0,90.0,0.0
1366,Mars,4711.0, Phrixi Regio , albedo feature ,AL,-39.667248,290.0,0.0
1250,Mars,2657.0, II Thyle I , albedo feature ,AL,-69.7816,180.0,0.0
1341,Mars,4415.0, Ogygis Regio , albedo feature ,AL,-44.661768,295.0,0.0
1338,Mars,4314.0, Nix Olympica , albedo feature ,AL,19.783566,230.0,0.0
1421,Mars,5850.0, Tanais , albedo feature ,AL,49.666565,290.0,0.0
1336,Mars,4318.0, Noachis , albedo feature ,AL,-44.661768,30.0,0.0
1343,Mars,4450.0, Olympia , albedo feature ,AL,79.883671,160.0,0.0
1413,Mars,5624.0, Solis Lacus , albedo feature ,AL,-27.720515,270.0,0.0
1243,Mars,2793.0, Jamuna , albedo feature ,AL,9.884955,320.0,0.0
1364,Mars,4706.0, Phoenicis Lacus , albedo feature ,AL,-11.863165,250.0,0.0
1423,Mars,6182.0, Uchronia , albedo feature ,AL,69.7816,100.0,0.0
1427,Mars,5912.0, Tempe , albedo feature ,AL,39.667248,290.0,0.0
1411,Mars,5585.0, Sithonius Lacus , albedo feature ,AL,44.661768,115.0,0.0
1417,Mars,5734.0, Styx , albedo feature ,AL,29.707944,160.0,0.0
862,Titan,7012.0, Hotei Arcus , arcus ,AR,-28.0,281.0,600.0
14831,Dione,14374.0, Pactolus Catena , catena ,CA,8.79,32.85,180.0
3000,Rhea,14752.0, Koykamou Catena , catena ,CA,-70.0,116.0,110.0
2688,Mars,4698.0, Phlegethon Catena , catena ,CA,38.825149,256.723815,399.685
3001,Rhea,14753.0, Mouru Catena , catena ,CA,48.5,16.5,80.0
14860,Dione,14373.0, Aufidus Catena , catena ,CA,-78.0,63.6,275.0
222,Mercury,15107.0, Goldstone Catena , catena ,CA,-15.624847,327.97653,102.0
14832,Dione,14375.0, Pantagias Catenae , catena ,CA,-15.3,218.3,200.0
